species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Gentoo,Biscoe,52.5,15.6,221.0,5450.0,
,Dream,49.7,18.6,195.0,3600.0,MALE
,Biscoe,46.9,14.6,222.0,4875.0,FEMALE
Gentoo,Biscoe,42.8,,209.0,4700.0,FEMALE
Adelie,Biscoe,37.8,18.3,174.0,,FEMALE
Adelie,Torgersen,38.5,17.9,190.0,3325.0,
Gentoo,Biscoe,46.9,14.6,222.0,4875.0,FEMALE
Adelie,Dream,33.1,16.1,,2900.0,FEMALE
,Dream,44.1,19.7,196.0,,MALE
Gentoo,Biscoe,50.4,15.3,224.0,5550.0,MALE
Adelie,Torgersen,38.6,17.0,,2900.0,
Adelie,,35.0,17.9,190.0,3450.0,FEMALE
Gentoo,Biscoe,,,231.0,,MALE
Gentoo,,49.6,,216.0,4750.0,MALE
Chinstrap,Dream,50.3,20.0,197.0,3300.0,MALE
Gentoo,Biscoe,48.7,14.1,,4450.0,FEMALE
Gentoo,Biscoe,48.6,16.0,230.0,5800.0,MALE
Gentoo,Biscoe,40.9,13.7,,4650.0,FEMALE
Adelie,Dream,,16.1,178.0,,
Adelie,Torgersen,38.6,21.2,191.0,3800.0,
Adelie,Dream,37.0,,185.0,3000.0,FEMALE
,Biscoe,50.7,15.0,223.0,,MALE
Adelie,Torgersen,45.8,,,4150.0,MALE
,Biscoe,45.3,,210.0,,FEMALE
Gentoo,Biscoe,48.5,15.0,219.0,4850.0,FEMALE
Gentoo,Biscoe,,15.0,218.0,4950.0,FEMALE
Chinstrap,Dream,51.5,18.7,187.0,3250.0,MALE
Gentoo,,42.8,14.2,,4700.0,
,Biscoe,,14.2,209.0,4600.0,FEMALE
Adelie,Dream,40.7,17.0,190.0,3725.0,MALE
Adelie,Biscoe,37.8,18.3,174.0,,FEMALE
Chinstrap,,52.0,18.1,201.0,4050.0,MALE
,Dream,39.2,18.6,,4250.0,MALE
Gentoo,Biscoe,,14.3,216.0,4100.0,
,Biscoe,46.4,15.6,221.0,5000.0,MALE
Gentoo,Biscoe,45.8,,,4700.0,FEMALE
Gentoo,Biscoe,,,231.0,,MALE
Gentoo,Biscoe,47.2,15.5,215.0,4975.0,FEMALE
Gentoo,Biscoe,45.2,,215.0,4750.0,FEMALE
Gentoo,Biscoe,49.8,16.8,,5700.0,MALE
Chinstrap,,50.9,,196.0,,MALE
Adelie,Biscoe,41.1,18.2,192.0,4050.0,MALE
Adelie,Biscoe,35.0,,190.0,3450.0,FEMALE
Gentoo,Biscoe,,,210.0,4850.0,FEMALE
Adelie,,35.1,19.4,193.0,4200.0,
Adelie,Dream,37.5,18.9,179.0,,
Chinstrap,,47.0,17.3,185.0,,FEMALE
,Torgersen,34.6,21.1,198.0,4400.0,MALE
Gentoo,Biscoe,45.2,15.8,215.0,5300.0,
Adelie,Biscoe,35.0,17.9,192.0,3725.0,FEMALE
Gentoo,Biscoe,49.9,16.1,213.0,5400.0,MALE
